Домен	Тип товара	Габариты	Цвет	Материал	Особенности	Цена (₽)	ID	Артикул
Мебель	Стенд выставочный	850х2000		алюминий	roll-up с печатью	2700	s2_313	 
Мебель	Тележка	500х350х750		металл	инструмент компактный 3 ящики	7400	s2_314	 
Мебель	Стойка для штанг	1800х500х1800		сталь	3мм 6 мест	19400	s2_315	 
Мебель	Шкаф инструмент	1000х500х1950		металл	2-дверный ключ	19800	s2_316	 
Мебель	Сейф огнестойкий	600х500х500			эл замок 60мин 55	32400	s2_317	 
Мебель	Перегородка офисный	1400х30х400			экран наст пробков	2700	s2_318	 
Мебель	Стул-табурет офисный		белый		регулируемый сидушка кругл	1700	s2_319	 
Мебель	Стул банкетный		бежевый; бук	дерево; бук	деревян лак чехол	2800	s2_320	 
Мебель	Кресло посетит		чёрный; хром	хром; экокожа	на полозьях карк	3280	s2_321	 
Мебель	Стул обеденный		венге	ЛДСП	мягкое сиденье	1450	s2_322	 
Мебель	Доска маркерн	1500х1000		алюминий	магн алюминиевая рамка	2700	s2_323	 
Мебель	Тумба под	600х450х720	дуб сонома	ЛДСП; дуб	МФУ с дверц	4900	s2_324	 
Мебель	Шкаф медицинский	600х600х1850	белый		угловой ключ 4 пол	14700	s2_325	 
Мебель	Раздевалка	600х400х1850			шкафч ячейк 8 ячеек ключ	13700	s2_326	 
Мебель	Шкаф	600х600х1600	серый		"сервер 19"" 32U метал дверный"	48400	s2_327	 
Мебель	Стол письменный	2400х1400х750	белый	ЛДСП	сдвоен бенч	19400	s2_328	 
Мебель	Сейф огнестойкий	400х500х500			ключ+код	19800	s2_329	 
Мебель	Стол письменный	1200х600х750	ясень	ЛДСП		5290	s2_330	 
Мебель	Ресепшен-стойка	2000х600х1100		ЛДСП; стекло	стекл надстр	34700	s2_331	 
Мебель	Кресло посетит		чёрный	металл; пластик	штабел металлические ножки	1850	s2_332	 
Мебель	Шкаф для документов	800х400х1150	серый	ЛДСП	с замком	7400	s2_333	 
Мебель	Подставка под	600х250х100			монитор бамбук ящики	1450	s2_334	 
Мебель	Шкаф документальный	800х400х1950	серый		с сейф-секц ключ	15700	s2_335	 
Мебель	Стул барный	500х500х850	коричневый	экокожа	со спинкой	4250	s2_336	 
Мебель	Лампа		чёрный	пластик	наст диммер USB сенсорн	1480	s2_337	 
Мебель	Стол-бенч	1400х700х750	белый	ЛДСП	пристав	7400	s2_338	 
Мебель	Шкаф для инструмента	1000х500х2000			откидн створк крюч	21800	s2_339	 
Мебель	Рулонная	1500х1700	бежевый		штора блэкаут	1980	s2_340	 
Мебель	Корзина		хром	металл; хром; сетка	покупательск 22л с ручк	520	s2_341	 
Мебель	Скамья	1000х600х900			тренировочн гиперэкст угловой 45°	13400	s2_342	 
Мебель	Стол манипуляц	900х500х850			SS 1 ящики колес	14800	s2_343	 
Мебель	Верстак	1800х750х900	бук	бук	столярн с тиск массив 50мм	38400	s2_344	 
Мебель	Стол угловой	1400х1100х750	дуб сонома	ЛДСП; дуб		10600	s2_345	 
Мебель	Шкаф для документов	800х400х1150	белый	ЛДСП	сред	6900	s2_346	 
Мебель	Зона		серый	ткань	ожидан кресло перегов на полозьях	9800	s2_347	 
Мебель	Стул		коричневый	экокожа; дерево	ресторан с подлок карк	3200	s2_348	 
Мебель	Шкаф медицинский	900х450х1950	серый	металл	2-секционный ключ	16800	s2_349	 
Мебель	Стеллаж	800х400х1800	серый	металл	полузакрытый 4 пол	6700	s2_350	 
Мебель	Сейф	250х350х250			мебельн ключ 8	3200	s2_351	 
Мебель	Каталка медицинский	2000х650х750			1-местный колес	24800	s2_352	 
Мебель	Стол гостевой	800х450х750	белый	ЛДСП	макияж зерк	8900	s2_353	 
Мебель	Подиум выставочный	2000х800х1200			МДФ 4 ярус	14400	s2_354	 
Мебель	Комод 3	600х400х800	белый	ЛДСП	ящика	3950	s2_355	 
Мебель	Кассов	1800х1200х900		ЛДСП	остров со стяж лентой	26800	s2_356	 
Мебель	Кресло акцент			дерево	велюр коичн дерев ножк	13900	s2_357	 
Мебель	Тумба реактивн	600х500х850			под кислоту трейзор	19800	s2_358	 
Мебель	Удлинитель		белый		4 розет 5м с выкл	620	s2_359	 
Мебель	Стол учительск	1400х600х760	бук	ЛДСП; бук	с тумбой 2 ящика	9700	s2_360	 
Мебель	Подставка под	500х250х100	белый	ЛДСП	монитор	780	s2_361	 
Мебель	Шкаф-купе	1500х600х2200	дуб сонома	дуб	2-дверный зерк	31200	s2_362	 
Мебель	Парта школьн	600х500х760	бук	ЛДСП; бук	с наклон столеш	3700	s2_363	 
Мебель	Стол операторск	1200х600х750	серый	ЛДСП	компактный	5800	s2_364	 
Мебель	Стол банкетный	2400х750х750	серый	пластик	складн HDPE	9200	s2_365	 
Мебель	Стол перегов	1500х750	дуб сонома	ЛДСП; дуб	круглый	9400	s2_366	 
Мебель	Шкаф двуспальный	800х450х1950	серый	металл	ключ	14700	s2_367	 
Мебель	Штора	1200х1700	бежевый	ткань	рулон	980	s2_368	 
Мебель	Сейф	350х450х250			мебельн под А4 ключ 14	4400	s2_369	 
Мебель	Шкаф медицинский	1200х500х1950	белый	металл	2-секционный ключ	21400	s2_370	 
Мебель	Верстак	1500х700х900			мобильный колес с тормозн 4 ящики	19800	s2_371	 
Мебель	Шкаф архивный	1600х450х1950	серый	ЛДСП	4-секционный А4	26500	s2_372	 
Мебель	Стеллаж нержав	1000х500х1800			SS304 4 пол пищ	38400	s2_373	 
Мебель	Стол письменный	1500х1200х750	венге	ЛДСП	угловой с тумбой	14800	s2_374	 
Мебель	Подиум выставочный	400х400х400	белый	ЛДСП	квадратный	2700	s2_375	 
Мебель	Тумба под	600х450х750	венге	ЛДСП	МФУ 2 полки	5100	s2_376	 
Мебель	Стол-бенч	3600х1600х750	дуб сонома	ЛДСП; дуб	6-местный	58400	s2_377	 
Мебель	Кресло офисный		чёрный; серый	сетка	эрг крест с подлок	7800	s2_378	 
Мебель	Огражд выставочный		хром	хром	Огражд выставочный стойка хром+лента 1м	1480	s2_379	 
Мебель	Подставка под	600х230х90	серый	металл	монитор регулируемый	1980	s2_380	 
Мебель	Контейнер	1000х800х750		металл	сетчат нагр 300кг	8700	s2_381	 
Мебель	Стол лаб	1000х600х900			весовой антивибр гранит	24700	s2_382	 
Мебель	Кронштейн				под клавиат с подставк под мышь	1700	s2_383	 
Мебель	Кухонный модуль	600х500х820	дуб сонома	ЛДСП; дуб	офисный ниж	5800	s2_384	 
Мебель	Кресло руководителя		серый; хром	хром; ткань	велюр крестовина	11400	s2_385	 
Мебель	Столик	600х400х850			инструмент SS 3 полки колес	7800	s2_386	 
Мебель	Шкаф медицинский	800х450х1850	белый		стек створк 4 пол	16400	s2_387	 
Мебель	Шкаф	600х450х650	серый		"сервер наст 19"" 12U стек дверный"	18400	s2_388	 
Мебель	Перегор	1500х1500х2000		HPL	санитарн кабина в сборе	31400	s2_389	 
Мебель	Стул-табурет		серый	винил	работ регул высоты	1850	s2_390	 
Мебель	Сейф	300х400х300			мебельн эл замок 12	5400	s2_391	 
Мебель	Подставка под		чёрный	металл	системный блок колес	780	s2_392	 
Мебель	Стол угловой	1600х1200х750	серый	ЛДСП	с тумбой 4 ящика	17200	s2_393	 
Мебель	Столик	800х500х450	дуб сонома	ЛДСП; дуб	журн	2900	s2_394	 
Мебель	Матрас	1800х2000			пружин 7-зон независ блок	19800	s2_395	 
Мебель	Тумба выкатн	400х500х650	венге	ЛДСП	4 ящика	5200	s2_396	 
Мебель	Барн.стойка	1800х600х1100	венге	ЛДСП	с витрин	28400	s2_397	 
Мебель	Стол перегов	1200х600х750	серый	ЛДСП	трапец	6900	s2_398	 
Мебель	Диван прям		чёрный	экокожа	еврокн 2-местный	24500	s2_399	 
Мебель	Стол лаб	1600х750х900	серый	ЛДСП	компьют кабель	11400	s2_400	 
Мебель	Стул ученический			металл; пластик	сиденье/спинка каркас 380	1100	s2_401	 
Мебель	Багажн.полка	1000х400х200		дерево	гостиничн наст	2400	s2_402	 
Мебель	Кронштейн				"монит потолочный """	2900	s2_403	 
Мебель	Жалюзи	1500х2400	бежевый	ткань	вертикальный	2900	s2_404	 
Мебель	Скамья	2000х600х450		сталь	тренир олимп 4мм	18400	s2_405	 
Мебель	Шкаф архивный	800х450х1990		металл	4 полки ключ	14700	s2_406	 
Мебель	Шкаф школьн	800х400х1850	бук	ЛДСП; бук	для книг со стек створк	13700	s2_407	 
Мебель	Стул ученический		бук	ЛДСП; металл; бук	штабел каркас 460	1380	s2_408	 
Мебель	Кресло руководителя		чёрный; хром	хром; кожа	пятилучье	14800	s2_409	 
Мебель	Шкаф лабораторный	1200х750х2300		металл	вытяжн фильтр	46800	s2_410	 
Мебель	Стеллаж	1500х500х2000		металл	сборн 5 пол 150кг/п	7400	s2_411	 
Мебель	Доска маркерн	900х600		алюминий	магн алюминиевая рамка	1380	s2_412	 
Мебель	Подставка для ног		чёрный	металл; сетка		1100	s2_413	 
Мебель	Кронштейн для проектор				потолочный регулируемый	3700	s2_414	 
Мебель	Стеллаж паллетн	3000х1100х4500			нагр 1000кг/п усиленный	31400	s2_415	 
Мебель	Доска информ	1200х900			магн маркерн со створками	4700	s2_416	 
Мебель	Шкаф медицинский	800х400х1850	белый	металл	2-секционный ключ	14410	s2_417	 
Мебель	Кресло операторск		белый; серый	сетка	каркас	6700	s2_418	 
Мебель	Перегор	900х900х2000		стекло	душевая угловой алюм карк	19400	s2_419	 
Мебель	Стол комп	1100х600х1450	венге	ЛДСП	с надстр	9400	s2_420	 
Мебель	Стеллаж	800х400х1800		металл	5 пол 150кг/п оцинк	5700	s2_421	 
Мебель	Тумба под	600х450х650	белый	ЛДСП	оргтехнику	4200	s2_422	 
Мебель	Шкаф химический	800х500х1850	серый	металл	лаб 2-дверный вытяж	28400	s2_423	 
Мебель	Верстак	1500х700х900		сталь; металл	с ящиками 7-секционный 2мм	28400	s2_424	 
Мебель	Шкаф лабораторный	800х450х1850			для посуды стек створк	14700	s2_425	 
Мебель	Витрина торгов	500х500х500		стекло	наст куб	6800	s2_426	 
Мебель	Шкаф для документов	800х400х1950	серый		высокий открыт	8400	s2_427	 
Мебель	Рулонная	1000х1600	серый		штора блэкаут	1380	s2_428	 
Мебель	Барн.стойка	2400х800х1100	серый	ЛДСП	модул островн сер	31400	s2_429	 
Мебель	Стеллаж	1200х400х2500		металл	для архива 6 пол А4	13700	s2_430	 
Мебель	Стойка	1200х1200х2100		сталь	приседан силовая рама 4мм	38400	s2_431	 
Мебель	Стол лабораторный	800х600х900	серый		весовой антивибр	17400	s2_432	 
Мебель	Стул банкетный		бежевый; золото		штабел чехол карк	2200	s2_433	 
Мебель	Кресло руководителя		белый	экокожа	деров накладки метал крест	14700	s2_434	 
Мебель	Флипчарт	700х1000			магн на колёсах	3450	s2_435	 
Мебель	Шкаф для документов	800х400х750	серый		низкий со створк	6100	s2_436	 
Мебель	Стеллаж нержав	800х500х1800			SS201 4 пол пищ	24700	s2_437	 
Мебель	Стол операторск	1200х600х750	белый	ЛДСП	на бенч-карк	6400	s2_438	 
Мебель	Кассов	1000х600х1100	серый	ЛДСП	бокс ниш под терминал	14400	s2_439	 
Мебель	Витрина торгов	600х400х1800		стекло	высокий 5 пол подсв	19400	s2_440	 
Мебель	Тумба под	600х500х500		металл	сейф нагр 300кг	4600	s2_441	 
Мебель	Кушетка процедур	2000х650х750	бежевый	винил	регулируемый	17400	s2_442	 
Мебель	Ковёр	2000х2900	бежевый		шерсть классик	19800	s2_443	 
Мебель	Перегор	450х40х1000	чёрный	HPL	писсуарн компакт	4700	s2_444	 
Мебель	Столик барный	600х1100	белый; хром	ЛДСП; хром	круглый	4100	s2_445	 
Мебель	Ковёр	2000х3000	бежевый; коричневый		синтет геом	7200	s2_446	 
Мебель	Стул банкетный		чёрный; хром	хром; ткань	штабел карк	1480	s2_447	 
Мебель	Стол-бенч	4800х1600х750	серый	ЛДСП	8-местный	78400	s2_448	 
Мебель	Бенч-система	2400х1400х750	серый	ЛДСП	4-местный	38400	s2_449	 
Мебель	Шкаф-стеллаж	800х400х1850	дуб сонома	ЛДСП; дуб	комби	8700	s2_450	 
Мебель	Перегородка офисный	1500х40х1800	матовый	стекло	стационарный	9700	s2_451	 
Мебель	Шкаф для документов	800х400х1950	серый	ЛДСП	высокий	9800	s2_452	 
Мебель	Зона		чёрный	экокожа	ожидан диван-секция прям	13800	s2_453	 
Мебель	Доска информ	1500х1000			пробков в алюм рамке	1850	s2_454	 
Мебель	Шкаф документальный	600х600х1950	венге	ЛДСП	вращающ	17800	s2_455	 
Мебель	Раздевалка	600х500х1850			шкаф ЛОК с гигрост вент	13400	s2_456	 
Мебель	Раздевалка	600х500х2200			шкаф ЛОК с антресол ключ	13800	s2_457	 
Мебель	Кухонный модуль	900х900х820	серый	ЛДСП	офисный угловой ниж	9700	s2_458	 
Мебель	Стол лабораторный	1200х600х900	белый	ЛДСП	химостойк	11400	s2_459	 
Мебель	Стеллаж	1200х500х2000		металл	оцинк 5 пол 250кг/п	10400	s2_460	 
Мебель	Стол перегов	1000х750	серый	ЛДСП	круглый	5700	s2_461	 
Мебель	Стол антиванд	1800х1500х750		металл; дерево	пикн со скам металлический+деревянный	18400	s2_462	 
Мебель	Шкаф для инструмента	1500х600х2000		металл	с верст ящики	34800	s2_463	 
Мебель	Стенд выставочный				модул поп-ап 3х3 ткан с печатью	24700	s2_464	 
Мебель	Шкаф медицинский	1200х500х1950	серый	металл	2-секционный ключ	21400	s2_465	 
Мебель	Кровать дверный	1600х2000	тёмно-серый	экокожа	подъём мех + ламель	35700	s2_466	 
Мебель	Стол ресторан	700х700х750	дуб	ЛДСП; металл; дуб	опора	4100	s2_467	 
Мебель	Стеллаж гараж	2000х500			навесн под потолок	6700	s2_468	 
Мебель	Кресло офисный		чёрный	ткань; пластик	оператора крест	3950	s2_469	 
Мебель	Светильник накладки	600х600			растр 28Вт	980	s2_470	 
Мебель	Картотека		серый	металл	4 ящика А3 ключ	13400	s2_471	 
Мебель	Зона		чёрный; хром	хром; экокожа	ожидан диван 4-местный	21400	s2_472	 
Мебель	Светильник потолочный	1200х300			офисный 40Вт армстронг	1450	s2_473	 
Мебель	Стол комп	1100х1100х750	венге	ЛДСП	дет угловой	9700	s2_474	 
Мебель	Стол лабораторный	1500х750х900	серый	ЛДСП	химостойк	13700	s2_475	 
Мебель	Стеллаж для гантелей	600х600х1800		сталь	вертикальный 3мм	9700	s2_476	 
Мебель	Стул обеденный		чёрный	металл	каркас сид фанера	1980	s2_477	 
Мебель	Шкаф для одежды	400х500х1850	серый	ЛДСП	офисный	7200	s2_478	 
Мебель	Стеллаж	1000х400х2000		металл	5 пол 150кг/п оцинк	7600	s2_479	 
Мебель	Диван-уголок	1600х600х900	коричневый	экокожа	кафе модул	24700	s2_480	 
Мебель	Стул банкетный		бежевый; золото	экокожа	карк штабел	2100	s2_481	 
Мебель	Скамья	1800х600х850		дерево	парков со спинкой чугун дерев планк	11700	s2_482	 
Мебель	Стол-приставка	600х350х750	белый	ЛДСП	узк	2400	s2_483	 
Мебель	Диван угловой		коричневый		тик-так велюр	46300	s2_484	 
Мебель	Шкаф медицинский	800х450х2000	белый		перевязоч 4 пол	17800	s2_485	 
Мебель	Стеллаж гараж	800х400х1800			лёгк 4 пол сборн	3700	s2_486	 
Мебель	Светильник аварийный				наст встр 2Вт автон	680	s2_487	 
Мебель	Кресло руководителя		чёрный	кожа; дерево	бизнес-класс накладки	28900	s2_488	 
Мебель	Стол письменный	1100х600х750	бук	ЛДСП; бук	дет	6400	s2_489	 
Мебель	Шкаф химикат	600х450х1850			лаб компактный вытяж	21400	s2_490	 
Мебель	Тумба под	800х450х650	серый	ЛДСП	МФУ	5400	s2_491	 
Мебель	Сейф взломостойк	500х400х400			кл I ключ+код 75	41400	s2_492	 
Мебель	Стеллаж	1000х500х2000	серый	металл	полузакрытый 5 пол	8900	s2_493	 
Мебель	Стул-табурет офисный		чёрный	ткань	эконом крестовина	980	s2_494	 
Мебель	Стол кафе	700х750	венге	ЛДСП	круглый чугун опор	3800	s2_495	 
Мебель	Картотека			металл	2 ящика А3 ключ	7400	s2_496	 
Мебель	Шкаф для одежды	800х500х2000		ЛДСП	офисный с пеналом	14700	s2_497	 
Мебель	Стул-табурет		чёрный	металл	складн 450мм	680	s2_498	 
Мебель	Кронштейн				ноутб наст с площадкой регулируемый	2100	s2_499	 
Мебель	Стул обеденный		серый	дерево	велюр дерев ножк	3400	s2_500	 
Мебель	Стол ресторан	700х700х750	серый	ЛДСП; металл	опора	4100	s2_501	 
Мебель	Стол перевязочн	600х400х800			SS колес 2 полки	13400	s2_502	 
Мебель	Картотека		чёрный	металл	4 ящика А5 кодовая	10800	s2_503	 
Мебель	Тумба прикроватная	450х400х800	белый	металл	больничный	6400	s2_504	 
Мебель	Верстак	2000х2000х900		сталь	слесарн угловой 3мм 6 ящики	31400	s2_505	 
Мебель	Стол письменный	1200х600х750	орех	ЛДСП	т	5290	s2_506	 
Мебель	Стеллаж паллетн	2500х1100х4500			угловой нагр 600кг/п	34700	s2_507	 
Мебель	Верстак	1800х750х900		металл	слесарн усиленный 2 ящики+полки	19400	s2_508	 
Мебель	Перегородка офисный	1800х1200	серый	ткань	мобильный колес	9800	s2_509	 
Мебель	Шкаф-купе	2100х600х2200	белый		3-дверный зерк	38900	s2_510	 
Мебель	Двуспальный	1800х500х450		дерево	скамья парков антиванд бетон+деревянный	19800	s2_511	 
Мебель	Стеллаж	1000х400х1800		металл	5 пол 150кг/п оцинк	6900	s2_512	 
Мебель	Стол кухонный	1200х600х750	белый	ЛДСП	раскладн 800/	6400	s2_513	 
Мебель	Стул-табурет		серый	ткань	фикс высота 450 4 ножк	780	s2_514	 
Мебель	Лампа		чёрный		наст USB сенсорн диммер	2100	s2_515	 
Мебель	Стол перегов	2400х1200х750	дуб сонома	ЛДСП; дуб	овальн	24700	s2_516	 
Мебель	Шкаф огнестойкий	800х500х1850			документальный 60мин ключ	64800	s2_517	 
Мебель	Кресло-мешок	1200х900	чёрный	экокожа		3800	s2_518	 
Мебель	Стеллаж-кронштейн	1000х400		металл	настенный 4 кронш	3400	s2_519	 
Мебель	Кресло посетит		коричневый	металл; ткань	на полозьях каркас	2380	s2_520	 
Мебель	Ресепшен гостевой	3000х700х1200	венге	ЛДСП	с подсвет	84700	s2_521	 
Мебель	Стул банкетный		чёрный; золото	экокожа	штабел карк	1700	s2_522	 
Мебель	Зона		серый	рогожка	ожидан кресло переговор	10800	s2_523	 
Мебель	Ресепшен-стойка	1800х700х1200	серый	ЛДСП	с надстр	28700	s2_524	 
Мебель	Кресло руководителя		бежевый	экокожа; пластик	крест с подлок	9700	s2_525	 
Мебель	Шкаф медицинский	600х450х1850			стерильн кварц лампа	24700	s2_526	 
Мебель	Шкаф инструмент	1000х500х1950		металл	перфор крюч	22800	s2_527	 
Мебель	Кресло посетит		серый; хром	хром; ткань	на полозьях	2950	s2_528	 
Мебель	Стеллаж для гантелей	2400х600х1200		сталь	3-ярус 3мм	21400	s2_529	 
Мебель	Панель	600х600		ткань	акуст потолочный подвес	2400	s2_530	 
Мебель	Тумба прикроватная	500х450х800	белый	металл	больничный	7100	s2_531	 
Мебель	Ресепшен гостевой	3600х800х1150	дуб	ЛДСП; дуб	больш модул	78400	s2_532	 
Мебель	Картотека		чёрный	металл	3 ящика А4 ключ	7800	s2_533	 
Мебель	Стул-табурет		бук	дерево; бук	масс лак фикс	2400	s2_534	 
Мебель	Шкаф для одежды	900х500х1850		металл	офисный 3-секционный	11800	s2_535	 
Мебель	Панель	250х2700	коричневый	ПВХ	декор кирпич	420	s2_536	 
Мебель	Сейф взломостойк	600х500х500			кл II эл замок 110	64700	s2_537	 
Мебель	Стол манипуляц	600х450х800			компактный SS 2 полки	9700	s2_538	 
Мебель	Барн.стойка	1200х600х1100	белый	ЛДСП	модул прям	13800	s2_539	 
Мебель	Стол операторск	1200х600х750	серый		компактный с экраном	7100	s2_540	 
Мебель	Тумба ТВ	1000х400х450	венге	ЛДСП		5400	s2_541	 
Мебель	Стеллаж	700х700х2000		металл	угловой 5 пол нагр 150кг/п	9700	s2_542	 
Мебель	Стол комп	1200х900х750	белый	ЛДСП; стекло	угловой	8900	s2_543	 
Мебель	Шкаф для одежды	400х500х1850		металл	офисный 1-секционный	6400	s2_544	 
Мебель	Кухонный модуль	800х500х820	белый	ЛДСП	офисный под мойку	6700	s2_545	 
Мебель	Тумба прикроватная	500х400х800			больн откидн стол	8700	s2_546	 
Мебель	Жалюзи	1000х1600	белый	алюминий	горизонтальный белые	1450	s2_547	 
Мебель	Перегор		матовый	стекло	душевая 800х8х2000 алюм карк	14700	s2_548	 
Мебель	Тумба прикр	400х350х500	белый	ЛДСП	1 ящика	1380	s2_549	 
Мебель	Скамья	1500х600х500			тренировочн абдомин регулируемый	11400	s2_550	 
Мебель	Стеновая	600х600	бежевый		панель акуст войлок 25мм	1700	s2_551	 
Мебель	Стеллаж	800х400х2000		металл	5 пол 150кг/п оцинк	6400	s2_552	 
Мебель	Тумба операторск	400х500х600			мобильный с замком 3 ящика	4900	s2_553	 
Мебель	Тумба гостевой	600х500х650	венге	ЛДСП	под минибар	8700	s2_554	 
Мебель	Шкаф медицинский	800х400х1850	серый	металл	2-секционный ключ	14400	s2_555	 
Мебель	Кровать дверный	1400х2000	венге	ЛДСП	ортопед осн	16200	s2_556	 
Мебель	Кресло посетит		бежевый; хром	хром; экокожа	на полозьях карк	3280	s2_557	 
Мебель	Шкафчик для столовой	400х300х450	дуб сонома	дуб	настенн	1480	s2_558	 
Мебель	Шкаф	500х400х1850		металл	бухгалт трейзор ключ	19400	s2_559	 
Мебель	Тумба под	500х450х650	чёрный	металл	принтер мобильный	5400	s2_560	 
Мебель	Тумба прикр	450х400х500	венге	ЛДСП	2 ящика	1850	s2_561	 
Мебель	Стол комп	1200х600х750	белый	ЛДСП	дет ящики	7800	s2_562	 
Мебель	Шкаф ЛОК	1200х500х1850		пластик	для душев влагостойк 4-секционный	28700	s2_563	 
Мебель	Стойка для штанг	2400х500х1800		сталь	3мм 8 мест	24800	s2_564	 
Мебель	Стеллаж	1000х400х1800		металл	сварн 4 пол нагр 200кг/п	6900	s2_565	 
Мебель	Кровать дверный	160х200	венге	ЛДСП		15800	s2_566	 
Мебель	Стойка для одежды		хром	металл; хром	медицинский колес	3700	s2_567	 
Мебель	Матрас	1400х2000			пружин независ блок	11700	s2_568	 
Мебель	Шкаф школьн	800х400х1850	бук	ЛДСП; бук	для тетрад 4 пол	11400	s2_569	 
Мебель	Подставка под		серый	ЛДСП	клавиат подвесн	1450	s2_570	 
Мебель	Верстак	1500х700х1850			двухуровн с надстр 5 ящики	26700	s2_571	 
Мебель	Шкафчик	600х600х720	белый	ЛДСП	столовой угловой 2-дверный	4400	s2_572	 
Мебель	Вешалка гостевой		хром	металл; хром	наст 4 крюч	1480	s2_573	 
Мебель	Стеллаж гараж	700х700х1800		металл	угловой 4 пол	5800	s2_574	 
Мебель	Бра		чёрный	металл	наст E27 с выкл	950	s2_575	 
Мебель	Зона		коричневый	экокожа	ожидан кресло переговор	12400	s2_576	 
Мебель	Шкаф химический	800х500х1850	серый	металл	лаб с поддон	26400	s2_577	 
Мебель	Кухонный модуль	600х500х820			офисный ниж под микровол	4800	s2_578	 
Мебель	Шкаф ЛОК	1200х500х2000			с наклон крышей 4-секционный ключ	19400	s2_579	 
Мебель	Картотека		чёрный	металл	А5 4 ящика ключ	6800	s2_580	 
Мебель	Перегородка офисный	1500х1200			мобильный пробков колес	7900	s2_581	 
Мебель	Диван офисный		бежевый	экокожа	3-местный	20400	s2_582	 
Мебель	Стол лабораторный	2100х750х900	белый	ЛДСП	химостойк	19400	s2_583	 
Мебель	Верстак	1500х700х850		сталь	слесарн с тиск 2мм 2 ящики	17400	s2_584	 
Мебель	Стул банкетный		тёмно-синий; хром	хром; ткань	штабел карк	1480	s2_585	 
Мебель	Светильник наружн		чёрный		фасадн 15Вт IP65	1700	s2_586	 
Мебель	Полка	1000х250х200			лаб наст SS нагр 40кг	3400	s2_587	 
Мебель	Тележка	700х450х1100			инструмент 5 ящики перфор экран	21400	s2_588	 
Мебель	Кресло руководителя		коричневый; хром	хром; экокожа	бизнес крестовина	19400	s2_589	 
Мебель	Кресло руководителя		белый; серый	сетка	эрг каркас подголовник	17800	s2_590	 
Мебель	Стеллаж-кронштейн	800х300х1800			гараж 5 пол оцинк	5400	s2_591	 
Мебель	Подиум выставочный	800х800х800	белый	ЛДСП	квадратный	5700	s2_592	 
Мебель	Стул-табурет		чёрный	сетка	высокий кассирск подножк	2900	s2_593	 
Мебель	Шкаф 4-дверный	1600х500х2100	венге	ЛДСП	распашной	26800	s2_594	 
Мебель	Доска флипчарт	700х1000			магн трипод	2400	s2_595	 
Мебель	Стол перегов	3600х1400х750	белый	ЛДСП	модул	42800	s2_596	 
Мебель	Кронштейн				ноутб наст газ лифт регулируемый	3400	s2_597	 
Мебель	Светильник наст		белый		зажим винт 6Вт	980	s2_598	 
Мебель	Тумба под	500х450х650	серый	ЛДСП	принтер моб колес	3400	s2_599	 
Мебель	Раздевалка	300х400х1850			шкафч ячейк 12 ячеек ключ	15400	s2_600	 
Мебель	Стеллаж паллетн	2700х1100х5500			нагр 800кг/п 4 ур	34800	s2_601	 
Мебель	Шкаф архивный	1600х450х2200	серый		со створк 4-секционный	28700	s2_602	 
Мебель	Стол лабораторный	1200х750х900	серый		химостойк двуспальный	11400	s2_603	 
Мебель	Подставка для ног			дерево	массажн ролик	1180	s2_604	 
Мебель	Стул банкетный		тёмно-синий; серый		серебро карк велюр	2400	s2_605	 
Мебель	Шкаф для одежды	1200х500х1850		металл	офисный 4-секционный	13200	s2_606	 
Мебель	Стеллаж антистат	1200х600х2000			ESD 5 пол ESD-покр	18400	s2_607	 
Мебель	Стол лаб	1500х750х900			титровальн ламель тумба	18400	s2_608	 
Мебель	Жалюзи	1500х2000	венге	алюминий	горизонтальный	2200	s2_609	 
Мебель	Прилавок-стойка	1000х500х900	венге	ЛДСП	торгов демонстр	9700	s2_610	 
Мебель	Стеллаж для шин	1500х500х2000			4-ур оцинк	11400	s2_611	 
Мебель	Стол лабораторный	1800х750х900	серый	ЛДСП	химостойк	16400	s2_612	 
Мебель	Стул банкетный		тёмно-синий; чёрный		штабел велюр карк	1850	s2_613	 
Мебель	Кресло руководителя		чёрный	экокожа; дерево	накладки подлокотники	11900	s2_614	 
Мебель	Раздевалка	600х500х1850		металл	шкаф ЛОК 2-секционный ключ	11400	s2_615	 
Мебель	Лампа			металл	наст бронза винтаж E27	2800	s2_616	 
Мебель	Ресепшен-стойка	1800х600х1100	белый	ЛДСП	прям	26400	s2_617	 
Мебель	Стеллаж	1200х400х2200	серый	металл	для архива 5 пол А4	11200	s2_618	 
Мебель	Матрас	2000х2000			пружин независ блок 7-зон	24700	s2_619	 
Мебель	Стеллаж-кронштейн	1200х400			склад навесн нагр 150кг	3800	s2_620	 
Мебель	Шкаф антиванд	1000х500х1950			4мм кодов замок	34800	s2_621	 
Мебель	Кронштейн				"монит наст 2-х монит """	5400	s2_622	 
Мебель	Рабоч.станция	2800х1400х750	серый	ЛДСП	бенч 2-местный	24800	s2_623	 
Мебель	Урна		чёрный	сталь; металл	антиванд 40л 3мм замок	7400	s2_624	 
Мебель	Тумба выкатн	400х500х600	дуб сонома	ЛДСП; дуб	3 ящика замок	4500	s2_625	 
Мебель	Тумба под	600х450х650	венге	ЛДСП	МФУ мобильный колес	5800	s2_626	 
Мебель	Раздевалка	900х500х1850			шкаф ЛОК со скамьёй ниш	15400	s2_627	 
Мебель	Барная	2000х500х1100	белый	ЛДСП	стойка-перегор	17900	s2_628	 
