Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽);ID
Спальня;Кровать водяная;Атлантик;200×200 см;-;ЛДСП/экокожа/LED;king-size, термоуправление, LED;премиум;124700;s251_
Декор;Ваза;Версаль;60 см;бежевый кракелюр;керамика;напольная;классика;4900;s252_
Ванная;Тумба под умывальник;Аква;100×45×60 см;серый шёлк/белый;МДФ/искусственный камень;со столешницей;-;22800;s253_
Гостиная;Шкаф-витрина;Корсика;100×40×200 см;состаренный белый/золото;дерево/стекло;классика;классика;43700;s254_
Спальня;Зеркало-трюмо;Аделаида;80×40×170 см;бук бавария;дерево/стекло;с тумбой и ящиками;-;28700;s255_
Детская;Кровать-домик;Сказка;80×190 см;белый;массив сосны;с крышей;детский;19800;s256_
Спальня;Кровать;Премьер;160×200 см;дуб артизан/белый матовый;ЛДСП;с тумбами в изголовье;-;36700;s257_
Декор;Картина;Виктория;70×100 см;-;холст/багет;Анфилада, золочёный багет;классика;6800;s258_
Текстиль;Покрывало;Адриатика;200×220 см;морская волна;хлопок жаккард;-;-;4900;s259_
Декор;Корзина;Флоренция;35×35×40 см;бежевый;ротанг;плетёная, декоративная;-;1900;s260_
Гостиная;Тумба под ТВ;Меридиан;160×40×45 см;орех/латунь;шпон ореха/металл;ножки латунь;-;19800;s261_
Гостиная;Кресло;Орлеан;-;горчичный;велюр/металл;ручной реклайнер;-;31900;s262_
Ванная;Тумба под умывальник;Лагуна;90×45×55 см;-;МДФ/искусственный камень;со столешницей;-;19800;s263_
Гостиная;ТВ-тумба;Дакота;160×40×45 см;дуб сонома/чёрный;ЛДСП/металл;-;-;9400;s264_
Гостиная;Кресло подвесное;Тропик;-;бежевый;натуральный ротанг;swing chair, с подушкой;-;34700;s265_
Гостиная;Шкаф-витрина;Аметист;120×40×210 см;орех/золото;дерево/стекло/LED;с подсветкой;классика;52800;s266_
Спальня;Зеркало-трюмо;Орхидея;75×40×155 см;белый глянец;МДФ/стекло;с пуфом;-;22400;s267_
Гостиная;Стенка-горка;Меган;300 см;ясень шимо светлый/тёмный;ЛДСП/стекло;ниша под ТВ;-;46700;s268_
Гостиница;Кресло;Стандарт;-;серая;рогожка/дерево;гостиничное, ножки массив;гостиничный;14200;s269_
Кухня;Стол обеденный;Равенна;D120 см;белый матовый;МДФ/металл;круглый, раздвижной;-;31900;s270_
Освещение;Светильник настольный;Эссен;35 см;белая/льняной;керамика/ткань;абажур льняной;-;4500;s271_
Кухня;Стул;Льеж;-;пыльно-розовый;велюр/бук;обеденный, мягкое сиденье, ножки бук;-;8400;s272_
Декор;Картина;-;50×70 см;-;холст/дерево;Подсолнухи, репродукция, багет золото;классика;3700;s273_
Декор;Ваза;-;35 см;нежно-розовый/золото;керамика;с золотым ободком;-;2400;s274_
Декор;Шкатулка;Палаццо;30×20×15 см;венге;дерево;с гравировкой;-;4200;s275_
Спальня;Кровать;Эра;180×200 см;капучино;кожзам/ЛДСП;изголовье каретная стяжка;-;47900;s276_
Детская;Коврик прикроватный;Малыш;80×140 см;принт облака;ткань;детский;детский;1800;s277_
Ванная;Шкаф пенал;Адриатика;35×30×170 см;белый глянец;МДФ;для ванной;-;7800;s278_
Кухня;Модуль кухонный;Бергамо;90×90 см;белый;ЛДСП/МДФ;нижний угловой, мойка;-;13700;s279_
Прихожая;Шкаф угловой;Атриум;90×90×220 см;ясень светлый;ЛДСП;в прихожую;-;19800;s280_
Текстиль;Дорожка ковровая;-;80×300 см;ясень/беж;шерсть;-;-;6400;s281_
Гостиная;Пуф;Лофт;45×45 см;графит;рогожка;куб;-;2700;s282_
Прихожая;Прихожая;Уют;100×100×210 см;белый/дуб сонома;ЛДСП;угловая, с обувницей;-;22800;s283_
Освещение;Гирлянда-штора;Метелица;3×2 м;тёплый белый;LED;300 ламп;-;2200;s284_
Кухня;Модуль кухонный;Премиум-Бергамо;90×60×90 см;белый матовый;ЛДСП/МДФ;с интегрированной посудомойкой;-;48700;s285_
Кухня;Винная стойка;Флоренция;-;чёрный/дерево;металл/дерево;напольная, на 24 бутылки;-;7800;s286_
Гостиная;Кресло-папасан;Бали;D110 см;зелёный;ротанг/велюр;натуральный ротанг;-;18700;s287_
Текстиль;Шторы;Тоскана;2×145×270 см;тёплый бежевый;лён;льняные;-;7900;s288_
Кабинет;Стол письменный;-;140×60 см;дуб сонома;ЛДСП;-;-;8400;s289_
Прихожая;Обувница;Альпы;90×30×90 см;белый матовый;ЛДСП/МДФ;закрытая, 3 откидных секции;-;7800;s290_
Текстиль;Плед;Натура;130×170 см;молочный;хлопок;вязаный;-;3400;s291_
Гостиная;Стеллаж;Самара;-;дуб сонома;ЛДСП;угловой, 5 полок;-;6700;s292_
Гостиная;Диван-софа;Аделина;2-местный;изумрудный;велюр;-;-;28600;s293_
Спальня;Кровать;Бергамо;160×200 см;пыльно-розовый;велюр/ЛДСП;подъёмный механизм;-;36800;s294_
Гостиная;Диван секционный;Бруклин;380×190 см;горчичный;велюр/ЛДСП;П-образный, 7 мест;-;128700;s295_
Гостиная;Диван прямой;Орбита;3-местный;-;велюр;-;-;249000;s296_
Гостиная;Журнальный стол;Лофт;100×60 см;-;металл/дуб;металлическая опора + дуб;лофт;9800;s297_
Текстиль;Ковёр-циновка;-;160×230 см;натуральный;джут;-;-;4700;s298_
Текстиль;Покрывало;-;200×220 см;оливковый;жаккард;цветочный паттерн;-;5400;s299_
Спальня;Кровать;Версаль;180×200 см;орех патина;дерево/ЛДСП;с тумбами в изголовье, каретка;классика;58900;s300_
Освещение;Бра;Камелия;-;розовый/латунь;латунь/ткань;с тканевым абажуром;-;3400;s301_
Кухня;Стул барный;Лион;-;натуральный;массив бука;сиденье круглое, лак;-;5400;s302_
Прихожая;Зеркало;Геометрия;80×100 см;-;латунь/стекло;art-объект, шестиугольные модули;-;32700;s303_
Детская;Кровать;Гранд;90×200 см;дуб артизан/синий;ЛДСП;с антресолью, лестница-комод;детский;38400;s304_
Спальня;Кровать;Стокгольм;160×200 см;дуб артизан;ЛДСП/дерево;с тумбами в изголовье;скандинавский;42900;s305_
Декор;Фоторамка;Тоскана;20×30 см;-;дерево;с патиной;-;52;s306_
Освещение;Лампа настольная;-;-;чёрный;пластик/LED;с диммером и USB;-;1800;s307_
Декор;Картина;Барселона;60×80 см;-;холст/дерево;Готический квартал, багет дерево;-;4200;s308_
Гостиная;Пуф;Кокон;D40 см;горчичный;велюр;круглый;-;3200;s309_
Балкон;Стол складной;Терраса;70×50 см;белый;металл/HPL;для балкона;-;3700;s310_
Прихожая;Зеркало напольное;Прага;50×170 см;венге;дерево/стекло;рама дерево;-;9800;s311_
Гостиная;Журнальный столик;-;D70 см;-;натуральный мрамор/латунь;круглый;-;17800;s312_
Спальня;Шкаф-купе;Премиум;250×65×240 см;орех/чёрный глянец;ЛДСП/зеркало/LED;с зеркалом и подсветкой;-;87900;s313_
Освещение;Бра LED;-;-;белый;металл/LED;с сенсором движения, для прихожей;-;2300;s314_
Спальня;Кровать;Аврора;180×200 см;пудровый;велюр/ЛДСП;мягкое изголовье капитоне;-;41500;s315_
Гостиная;Кресло;Эдинбург;-;шотландская клетка;ткань/дуб;ушастое, с банкеткой, ножки дуб;-;42500;s316_
Гостиница;Кровать;Стандарт;90×200 см;кремовая;экокожа/ЛДСП;двойная для номера;гостиничный;14800;s317_
Гостиная;Шкаф-горка;Орхидея;300 см;бук бавария/состаренное золото;дерево/стекло/LED;с подсветкой;классика;58700;s318_
Гостиная;Стеллаж;Берлин;-;белый;ЛДСП;открытый, 6 секций;-;7900;s319_
Прихожая;Зеркало;Минск;D50 см;графит;металл/стекло;настенное, круглое;-;3200;s320_
Спальня;Тумба прикроватная;Стокгольм;45×40×50 см;дуб артизан;ЛДСП/дерево;на ножках;скандинавский;6700;s321_
Текстиль;Ковёр;Модерн;160×230 см;графит/беж;вискоза;абстрактный;-;14700;s322_
Гостиная;Шкаф книжный;Библиотека;200×35×220 см;венге;ЛДСП/стекло;4-секционный;-;43500;s323_
Кухня;Стул полубарный;Италия;65 см;оливковый;велюр/латунь;ножки латунь;-;6800;s324_
Прихожая;Обувница;Норвегия;80×22×85 см;дуб артизан;ЛДСП/МДФ;откидная, 2 секции;-;5400;s325_
Кухня;Стул складной;-;-;бук;металл/дерево;кухонный, серия Лайт;-;1900;s326_
Текстиль;Покрывало;Орхидея;200×220 см;светло-розовый;жаккард;цветочный узор;-;6400;s327_
Гостиная;Кресло-качалка;Прага;-;бежевая;ротанг/ткань;из ротанга, подушка;-;17800;s328_
Прихожая;Вешалка-стойка;Дания;45×45×175 см;натуральный;массив бука;натуральный лак;-;7900;s329_
Детская;Кровать-машинка;Авангард;80×170 см;синяя;ЛДСП/LED;LED-подсветка, гоночная;детский;24700;s330_
Декор;Подставка под цветок;-;80 см;-;искусственный ротанг;напольная;-;2400;s331_
Гостиная;Журнальный столик;Натура;D80 см;натуральный;массив дерева;круглый, скандинавский;скандинавский;22400;s332_
Текстиль;Плед;Венеция;200×220 см;шотландская клетка;шерсть;-;-;4700;s333_
Спальня;Шкаф;Орхидея;150×55×210 см;белый патина;ЛДСП/зеркало;3-створчатый, зеркальные вставки;-;33800;s334_
Кабинет;Стол учебный;Гранд;140×70 см;дуб артизан/графит;ЛДСП/металл;кабель-канал;-;13900;s335_
Спальня;Зеркало-трюмо;Виктория;80×40×150 см;белый/золото;МДФ/стекло;с табуретом;-;24800;s336_
Декор;Подсвечник;Готика;50 см;чёрный;металл;кованый, на 5 свечей;-;4800;s337_
Кухня;Стул барный;Кокон;-;пудровый;велюр/металл;поворотный;-;6300;s338_
Гостиная;Диван-кровать;Берн;220×100 см;серая;рогожка/ЛДСП;трансформер, тик-так;-;58400;s339_
Ванная;Тумба под раковину;Адриатика;80×45 см;белый глянец;МДФ;подвесная;-;14800;s340_
Кухня;Гарнитур кухонный;Палермо;2.0 м;белый/серый кашемир;ЛДСП/МДФ;прямой, столешница ЛДСП;-;58700;s341_
Текстиль;Подушка декоративная;Аметист;45×45 см;бордо/золото;бархат;с золотыми кистями;-;1800;s342_
Кухня;Гарнитур кухонный;-;1.6 м;белый матовый;ЛДСП;прямой, эконом;эконом;32400;s343_
Текстиль;Ковёр;Прага;200×300 см;-;шерсть/хлопок;орнамент;-;19400;s344_
Детская;Парта учебная;Эверест;120×60 см;дуб/синий;ЛДСП/металл;подростковая, регулировка наклона;детский;16800;s345_
Кухня;Пенал кухонный;Бергамо;60×60×210 см;белый матовый;ЛДСП/МДФ;духовой шкаф;-;19800;s346_
Детская;Кровать;Эверест;90×200 см;графит/жёлтый;ЛДСП/металл;с антресолью, рабочее место и шкаф;детский;42800;s347_
Спальня;Тумба;Версаль;50×40×55 см;орех патина;дерево/МДФ;прикроватная, с резьбой;классика;10400;s348_
Прихожая;Зеркало;Прованс;50×70 см;белая патина;дерево/стекло;декоративное, резная рама;классика;6700;s349_
Спальня;Зеркало напольное;Камелия;50×170 см;белый/розовая пудра;МДФ/стекло/LED;в раме с подсветкой;-;14700;s350_
Хозтовары;Ящик поделочный;Эра;35×25×18 см;орех;дерево;с резьбой;-;2700;s351_
Декор;Свечи ароматические;Тоскана;-;ваниль/корица/сандал;воск/стекло;набор 3 шт;-;2200;s352_
Ванная;Тумба под умывальник;Бергамо;100×45×55 см;дуб артизан/белый;МДФ/дерево;двойная, две раковины;-;28400;s353_
Гостиная;Кресло клубное;Нью-Йорк Club;-;коричневая;экокожа/дерево;с подлокотниками;классика;46700;s354_
Гостиная;Тумба под ТВ;Натура;150 см;орех;массив дерева;из массива;-;22800;s355_
Кабинет;Стол письменный;Натура;120×65 см;-;массив сосны;лак;-;19400;s356_
Гостиная;ТВ-стенка;Берлин;280 см;венге/дуб сонома;ЛДСП/стекло;модульная;-;26900;s357_
Текстиль;Подушка;Лофт;40×60 см;коричневый;кожзам;валик;-;1300;s358_
Прихожая;Прихожая;Берлин;240×40×210 см;дуб сонома/венге;ЛДСП/зеркало;модульная, со шкафом и зеркалом;-;38400;s359_
Гостиная;Диван-канапе;Камелия;2-местный;пудровый;велюр/металл;ножки гнутые золото;классика;43700;s360_
Гостиная;Кресло гостевое;Глория;-;серо-голубая;рогожка/дерево;с высокой спинкой;-;17900;s361_
Прихожая;Полка декоративная;Тоскана;60×20 см;дуб артизан;ЛДСП/металл;настенная, с крючками;-;2400;s362_
Прихожая;Прихожая;Прага;120×30×210 см;белый/венге;ЛДСП;модульная;-;19700;s363_
Кабинет;Кресло компьютерное;Минск;-;серая;сетка/металл;газлифт класс 3, эконом;эконом;7400;s364_
Кухня;Фартук кухонный;-;60×244 см;мрамор калакатта;ПВХ;панель;-;1900;s365_
Прихожая;Шкаф;Дания;60×35×205 см;ясень шимо светлый;ЛДСП;штанга и полки;-;13800;s366_
Спальня;Тумба прикроватная;Полярная;50×35×35 см;белый матовый;МДФ;подвесная;-;5900;s367_
Декор;Шкатулка;Тиффани;28×18×12 см;-;дерево/стекло;с витражной вставкой;-;3800;s368_
Декор;Картина;Флоренция;60×80 см;-;холст;абстракция, фактурная;-;4700;s369_
Спальня;Туалетный столик;Прага;80×40×140 см;белый;ЛДСП/стекло;с зеркалом;-;16800;s370_
Гостиная;Шкаф-витрина;Тиффани;80×40×195 см;белый патина;дерево/стекло;с гравировкой стекла;классика;38900;s371_
Спальня;Шкаф;Самара;150×55×210 см;ясень шимо светлый;ЛДСП/зеркало;3-дверный, с зеркалом;-;31900;s372_
Гостиная;Кресло;Мадрид;-;капучино;шенилл/металл;поворотное, металлическая ножка;-;24700;s373_
Спальня;Кровать водяная;Адриатик;180×200 см;кофе;искусственная кожа/ЛДСП;с термостатом;-;87900;s374_
Кабинет;Тумба офисная;-;40×50×60 см;серый;ЛДСП/металл;подкатная, 3 ящика, замок;-;7800;s375_
Кабинет;Стол офисный;-;160×80 см;серый кашемир;ЛДСП;-;-;9700;s376_
Кухня;Стул;Прага;-;серый;велюр/дерево;с мягким сиденьем, ножки массив;классика;5700;s377_
Детская;Кровать-чердак;Олимп;90×200 см;белый/розовый;ЛДСП/металл;с диваном и столом;детский;39700;s378_
Спальня;Кровать-бокс;Соната;90×200 см;пыльно-розовая;рогожка/ЛДСП;подъёмный механизм;-;28400;s379_
Текстиль;Ковёр;-;200×290 см;серый меланж;акрил;-;-;9800;s380_
Спальня;Комод;-;80×40×90 см;белый;ЛДСП;4 ящика;-;8900;s381_
Гостиная;Стеллаж;Геометрия;200×40×220 см;белый/чёрный;ЛДСП/металл;многоуровневый, из сот-ячеек;-;22400;s382_
Прихожая;Шкаф узкий;-;60×35×210 см;ясень шимо светлый;ЛДСП;в прихожую;-;9800;s383_
Декор;Панно;Флоренция;60×80 см;белый;гипс;3D, абстракция;-;4900;s384_
Спальня;Кровать;Меридиан;180×200 см;пыльный голубой;велюр/дерево;на ножках, изголовье капитоне;-;42900;s385_
Спальня;Кровать;Орхидея;160×200 см;белый;ЛДСП;подъёмный механизм;-;27500;s386_
Гостиница;Мини-бар;-;60×50×85 см;дуб артизан;ЛДСП/металл;с холодильной нишей, для номера;гостиничный;18400;s387_
Гостиная;Диван-трансформер;Модерн;-;светло-серый;ткань/ЛДСП;тик-так;-;47200;s388_
Кабинет;Кресло;Льеж;-;серая;ткань/металл;офисное, эконом, газлифт класс 2;эконом;8400;s389_
Декор;Картина;Венеция;50×70 см;-;холст/багет;репродукция, золото;классика;4900;s390_
Кабинет;Стол письменный;Конструктор;110×55 см;-;бук;трансформер;-;7900;s391_
Гостиная;Диван модульный;Сохо;3+3 секции;чёрная;кожа/металл;секционный, два реклайнера;премиум;156400;s392_
Спальня;Кровать;Стелла;180×200 см;белая;экокожа/ЛДСП;ортопедическое основание;-;42500;s393_
Декор;Корзина;Тоскана;45×45×55 см;-;джут/кожа;плетёная, ручки кожаные;-;3700;s394_
Декор;Шкатулка;Орхидея;22×16×10 см;-;бархат/зеркало;бархатная, с зеркалом внутри;-;2400;s395_
Детская;Шкаф;Олимп;120×55×210 см;белый/бирюзовый;ЛДСП;подростковый, 3-дверный, штанга;детский;22400;s396_
Кухня;Гарнитур кухонный;-;1.8 м;белый/венге;ЛДСП/МДФ;прямой, базовая комплектация;-;39800;s397_
Ванная;Зеркало-шкаф;Сиена;80×15×70 см;белый матовый;МДФ/стекло/LED;с подсветкой и розеткой;-;15800;s398_
Гостиная;Кресло-реклайнер;Меридиан;-;чёрный;кожа PU/металл;массаж спины, электропривод;-;72800;s399_
Декор;Скульптура;Венера;50 см;белый;искусственный мрамор;классика;классика;7400;s400_
Спальня;Кровать водяная;Меридиан;200×200 см;графит;экокожа/ЛДСП;king-size, термоуправление;премиум;126400;s401_
Прихожая;Зеркало;Лофт;D70 см;чёрный;металл/стекло;в раме, круглое;лофт;6300;s402_
Прихожая;Скамья-обувница;Атриум;-;коричневая;экокожа/металл;с откидным сиденьем;-;6900;s403_
Освещение;Люстра;Прага;-;-;латунь/хрусталь;классическая, 6 ламп;классика;19700;s404_
Кухня;Стул барный;Турин;-;чёрная/хром;экокожа/металл;регулируемая высота;-;5400;s405_
Ванная;Зеркало;Венето;D70 см;-;латунь/стекло;с подсветкой, IP44;-;12400;s406_
Спальня;Тумбочка прикроватная;Карина;45×40×55 см;белый;ЛДСП;с двумя ящиками;-;4400;s407_
Детская;Шкаф угловой;Феникс;90×90×210 см;белый/мятный;ЛДСП/зеркало;подростковый, с зеркалом;детский;26900;s408_
Детская;Кресло-мешок;Малыш;-;синий;ткань/гранулы;детское, мяч;детский;1800;s409_
Декор;Подставка под цветок;Флоренция;25×25×60 см;белая;керамика;с автополивом;-;3700;s410_
Освещение;Гирлянда сетка;-;2×2 м;тёплый белый;LED;200 ламп;-;2700;s411_
Декор;Картина;-;70×50 см;-;холст/дерево;Морошковое утро, рама натуральная;-;3900;s412_
Кухня;Барный шкаф;Венеция;55×40×110 см;чёрный матовый;ЛДСП/металл;напольный, на колёсах;-;14700;s413_
Гостиная;Кресло;Глория;-;серый меланж;велюр/металл;с подставкой для ног;-;19400;s414_
Спальня;Изголовье кровати;Виктория;160×120 см;пыльная роза;велюр/ЛДСП;мягкое;-;14200;s415_
Прихожая;Прихожая;Стокгольм;180×35×210 см;ясень светлый;ЛДСП;скандинавский стиль;скандинавский;28700;s416_
Прихожая;Полка навесная;-;60×20 см;белый матовый;МДФ/металл;с крючками;-;1500;s417_
Детская;Кровать-машина;Феррари;80×170 см;красный;пластик/LED;детская, с подсветкой;детский;24700;s418_
Детская;Кровать;Малыш;90×200 см;дуб сонома;ЛДСП;односпальная;детский;9800;s419_
Детская;Стенка-горка;Феникс;280×40×195 см;графит/жёлтый;ЛДСП;подростковая;детский;36700;s420_
Текстиль;Покрывало;Иней;150×200 см;молочный;трикотаж;вязаное, крупная вязка;-;4400;s421_
Кабинет;Стол письменный;-;120×60 см;белый;ЛДСП;-;-;540;s422_
Гостиная;Полка-сота;Кокон;-;белая;МДФ;настенная, декоративная;-;1700;s423_
Спальня;Тумбочка прикроватная;Берлин;45×40×50 см;белый;ЛДСП;с 2 ящиками;-;4200;s424_
Текстиль;Шторы;Прага;2×140×270 см;графит;ткань;готовые, блэкаут;-;5400;s425_
Детская;Кровать двухъярусная;Малыш;80×190 см;белый;ЛДСП;с лестницей-комодом;детский;26800;s426_
Детская;Парта-трансформер;-;-;дуб артизан/синий;ЛДСП/металл;с книжной полкой, регулировка высоты;детский;15700;s427_
Освещение;Бра;Венеция;-;-;латунь/хрусталь;1-рожковое, классика;классика;6700;s428_
Кухня;Стол банкетный;-;240×80 см;белый глянец;ЛДСП/лак;раздвижной, торжественный;-;38900;s429_
Гостиная;Кресло-реклайнер;Модерн;-;коричневая;экокожа/металл;механический механизм;-;32900;s430_
Туризм;Стул складной;Конструктор;-;зелёная;металл/ткань;туристический;-;1600;s431_
Гостиная;Диван оттоманка;Версаль;200×90 см;бордо;бархат/дерево;правый угол;классика;58400;s432_
Спальня;Кровать;Стокгольм;140×200 см;оливковый;велюр/дерево;на ножках;скандинавский;29900;s433_
Прихожая;Шкаф угловой;Самара;80×80×210 см;ясень шимо/венге;ЛДСП;в прихожую;-;17800;s434_
Кухня;Стул кухонный;Лофт;-;чёрный/дуб;металл/дерево;металл чёрный с дубовым сиденьем;лофт;3400;s435_
Спальня;Шкаф-купе;Прага;120×60×220 см;венге;ЛДСП/зеркало;2-дверный;-;28900;s436_
Гостиная;Диван Chesterfield;Лондон;240×95 см;бордо;кожа честерфилд/дерево;каретная стяжка;классика;138900;s437_
Гостиная;Стеллаж напольный;-;80×30×160 см;дуб сонома;ЛДСП;4-полочный;-;5400;s438_
Спальня;Кровать водяная;Адриатика;180×200 см;белая;экокожа/ЛДСП;интеллектуальное управление;премиум;132700;s439_
Текстиль;Ковёр;Кокон;D200 см;молочный;акрил;круглый, длинный ворс;-;7900;s440_
Гостиная;Сервант;Аделина;220×45×100 см;-;дерево/стекло;комбинированный, низкий с витриной;классика;67400;s441_
Освещение;Бра;Орлеан;-;слоновая кость/латунь;латунь/ткань;с тканевым абажуром;-;3900;s442_
Прихожая;Зеркало;Венеция;60×80 см;золото;дерево/стекло;настенное, в раме;классика;5700;s443_
Гостиная;Стеллаж угловой;Модерн;60×60×180 см;-;металл/дуб артизан;4-уровневый;-;8700;s444_
Гостиная;Кофейный столик;Малибу;D50 см;-;мрамор/латунь;круглый;-;16800;s445_
Декор;Статуэтка;-;30 см;золото;керамика;лошадь, серия Базовая;-;3200;s446_
Кабинет;Подставка для книг;Венеция;30×20 см;чёрный/мрамор;металл/мрамор;-;-;2200;s447_
Гостиная;Кресло-мешок;Облако;80×60 см;чёрная;водоотталкивающая ткань;M;-;2800;s448_
Гостиная;Стеллаж-перегородка;Аметист;-;чёрный/дуб артизан;металл/ЛДСП;4 ячейки;-;8400;s449_
Хозтовары;Ящик поделочный;Скандинав;50×30×25 см;-;сосна;натуральная, откидная крышка;-;2400;s450_
Детская;Кресло;Турин;-;розовая;сетка/пластик;детское компьютерное, до 60 кг;детский;5700;s451_
Декор;Фоторамка;Семья;60×40 см;венге;дерево;коллаж на 7 фото;-;1800;s452_
Кабинет;Картотека;Архив;-;серый;металл;на 4 ящика;-;13700;s453_
Декор;Подсвечник;Прованс;D8×12 см;прозрачное;стекло;набор 3 шт;-;990;s454_
Спальня;Шкаф-купе;Дрезден;320×60×240 см;бодега;ЛДСП/стекло;4-дверный, фотопечать;-;72500;s455_
Текстиль;Покрывало плед;Иней;200×220 см;белый/серебро;жаккард;-;-;5800;s456_
Кухня;Стул барный;Турин;-;синяя/хром;экокожа/металл;регулируемая высота;-;5400;s457_
Спальня;Комод;Сканди;80×40×110 см;ясень светлый;ЛДСП/дерево;5-ящичный, ножки натуральные;скандинавский;19700;s458_
Освещение;Люстра;Барокко;-;кремовые/бронза;металл/ткань;12 ламп E14, состаренная бронза;классика;42400;s459_
Детская;Кровать-карета;Принцесса;90×190 см;розовый;бархат/ЛДСП;детская, с балдахином;детский;31900;s460_
Детская;Диван;Малыш;160×80 см;принт машинки;ткань/ЛДСП;детский, раскладной;детский;13900;s461_
Детская;Шкаф;Феникс;-;графит/жёлтый;ЛДСП;для подростковой, 4-дверный;детский;31900;s462_
Декор;Статуэтка;Слон;25 см;венге/перламутр;дерево;резной, инкрустация;-;4200;s463_
Спальня;Кровать;Орхидея;160×200 см;орех;ЛДСП;подъёмный механизм;-;27500;s464_
Кухня;Столик сервировочный;Бостон;-;-;бамбук;на колёсах;-;4700;s465_
Ванная;Зеркало;Полярная;50×70 см;-;стекло/LED/металл;прямоугольное, антипар, сенсорное;-;8400;s466_
Гостиная;Диван Chesterfield;Виндзор;200×90 см;изумрудный;бархат/дуб;ножки массив дуба;классика;124700;s467_
Спальня;Тумбочка прикроватная;Кокон;-;дуб молочный;ЛДСП;подвесная;-;5100;s468_
Кухня;Стул;Гудрун;-;натуральный;массив ясеня/дерево;скандинавский, ножки натуральные;скандинавский;3900;s469_
Гостиная;Кресло;Виктория;-;-;бук/гобелен;классическое, резные ножки, флор;классика;26900;s470_
Декор;Статуэтка;Флоренция;40 см;бронза;металл;танцовщица;-;4800;s471_
Декор;Подсвечник;Венеция;-;-;чугун;настенный, кованый, на 3 свечи;-;3400;s472_
Декор;Скульптура;Лошадь;35×40 см;бронза;металл;ретро-стиль;-;4900;s473_
Гостиная;Тумба под телевизор;Кокон;100 см;белый матовый;ЛДСП;-;-;7800;s474_
Кухня;Стул барный;-;50×50×85 см;коричневая;экокожа/металл;со спинкой;-;3900;s475_
Спальня;Шкаф;Барс;180×60×220 см;дуб сонома/венге/орех глянец;ЛДСП;3-дверный;-;38400;s476_
Детская;Кровать двухъярусная;Малыш;80×190 см;дуб молочный/венге;ЛДСП;-;детский;19800;s477_
Спальня;Кровать;Берлин;160×200 см;графит;велюр/ЛДСП;с мягким изголовьем;-;33700;s478_
Гостиная;Кресло-реклайнер;Орлеан;-;кофейный;кожа PU/металл;электропривод;-;58900;s479_
Декор;Картина;Северянин;60×80 см;-;холст/лак;Карельские сосны, лакировка;-;4400;s480_
Спальня;Шкаф-купе;Турин;200×60×240 см;графит;ЛДСП/стекло;фотопечать Город;-;67800;s481_
Гостиная;Кресло-реклайнер;Адмирал;-;коричневая;кожа/металл;Lounge, подножка, USB;-;78400;s482_
Гостиная;Банкетка;Палаццо;160×40×45 см;бордовый;бархат/металл;ножки золото;классика;14700;s483_
Декор;Скульптура;Танец;45 см;хром/дуб;металл/дерево;современная, абстракция;-;6800;s484_
Гостиная;Кресло-реклайнер;Барон;-;коричневая;рогожка/металл;механический привод;-;31400;s485_
Текстиль;Ковёр;Сканди;D200 см;серый меланж;акрил;круглый, короткий ворс;-;9800;s486_
Спальня;Кровать;Лион;160×200 см;ясень шимо/венге;ЛДСП/дерево;с тумбами в изголовье, капитоне;-;46700;s487_
Декор;Зеркало;Море;80×60 см;синяя глянцевая;МДФ/стекло;art, форма облака;-;18900;s488_
Прихожая;Вешалка напольная;Лофт;60×40×170 см;чёрный/дуб;металл/дерево;с дубовой полкой;лофт;3400;s489_
Спальня;Туалетный столик;Камелия;90×40 см;розовая пудра;МДФ/стекло;с откидным зеркалом и табуретом;-;21700;s490_
Прихожая;Обувница;Норвегия;60×22×85 см;белый;ЛДСП/МДФ;компактная, 2 секции;-;180;s491_
Детская;Кресло компьютерное;Карина;-;розовое;ткань/пластик;детское;детский;5400;s492_
Спальня;Тумба прикроватная;Версаль;-;белый/золотая патина;МДФ;с 3 ящиками;классика;18900;s493_
Освещение;Бра-софит;Модерн;-;белый;металл/LED;LED;-;2700;s494_
Декор;Картина;Тоскана;60×90 см;-;холст/дерево;Виноградники, масло;-;6400;s495_
Кухня;Стол обеденный;Равенна;D120 см;чёрный матовый;МДФ/металл;круглый, раздвижной;-;31900;s496_
Гостиная;Шкаф-витрина;Версаль;100×40×210 см;орех патина;дерево/стекло/LED;классика, с подсветкой;классика;42800;s497_
Гостиная;Шкаф-горка;Версаль;280 см;орех патина;дерево/стекло;классика, с резьбой;классика;58700;s498_
Гостиная;Кресло-реклайнер;Глория;-;серая;рогожка/металл;механический;-;26900;s499_
Гостиная;Диван-канапе;Версаль;2-местный;изумрудный;велюр/дерево;классический, ножки гнутые;классика;46900;s500_
Спальня;Кровать;Ампир;180×200 см;-;латунь/ткань;латунная, с балдахином;классика;112400;s501_
Спальня;Кровать;Сицилия;180×200 см;бежевая;экокожа/ЛДСП;подъёмный механизм;классика;39800;s502_
Гостиная;Стенка-горка;Лагуна;320 см;белый глянец/дуб артизан;ЛДСП/стекло;модульная;-;58900;s503_
Детская;Кровать-машинка;-;80×180 см;синяя;ЛДСП/пластик/LED;детская, с подсветкой, пожарная графика;детский;22400;s504_
Гостиная;Полка-сота;-;-;дуб артизан;МДФ;настенная, декоративная, комплект 3 шт;-;2700;s505_
